BankID	BankName	BankStreet	BankCity	BankState	BankZip
9674	Hanmi Bank	"3660 Wilshire Blvd, PH-A"	LOS ANGELES	CA	90010
9675	Mutual Savings Bank	80 E Jefferson St	FRANKLIN	IN	46131
9676	MidFirst Bank	501 NW Grand Blvd	OKLAHOMA CITY	OK	73118
9677	Kensington Bank	11 N Central Ave	KENSINGTON	MN	56343
9678	State Bank of Southern Utah	377 N Main St	CEDAR CITY	UT	84721
9679	"Wells Fargo Bank, National Association"	101 N Philips Ave	SIOUX FALLS	SD	57104
9680	"U.S. Bank, National Association"	425 Walnut St	CINCINNATI	OH	45202
9681	Flushing Bank	220 RXR Plz	UNIONDALE	NY	11556
9682	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9683	Oriental Bank	"254 Ave Mu<td,n>oz Rivera, Esq"	SAN JUAN	PR	00918
9684	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
9685	Columbia State Bank	1301 A St	TACOMA	WA	98402
9686	First National Bank of Omaha	"1620 Dodge St, SC 3118"	OMAHA	NE	68197
9687	"VelocitySBA, LLC"	9385 Haven Avenue	Rancho Cucamonga	CA	91730
9688	Century Bank	100 S Federal Pl	SANTA FE	NM	87501
9689	Northway Bank	9 Main St	BERLIN	NH	03570
9690	Gulf Coast Bank and Trust Company	200 St. Charles Ave	NEW ORLEANS	LA	70130
9691	Citizens and Farmers Bank	802 Main St	WEST POINT	VA	23181
9692	Bank of Hope	"3200 Wilshire Blvd, Ste 1400"	LOS ANGELES	CA	90010
9693	Community Savings Bank	101 E Union St	EDGEWOOD	IA	52042
